category_id,fighter_id,weighted_rating,deviation,active
1,3263,1966.6,76.26324,Active
1,1764,1964.2,91.28883,Active
1,5511,1957,111.7943,Active
1,10,1936.5,78.26538,Active
1,1314,1924.5,89.55482,Active
1,1865,1922.7,98.45427,Inactive
1,711,1913.6,70.38472,Active
1,2,1913.5,84.93776,Active
1,5501,1904.8,78.8877,Active
1,9813,1896.6,98.10485,Active
1,11462,1893.2,93.90124,Active
1,2195,1873.7,101.0987,Inactive
1,1060,1873.2,58.94904,Active
1,2090,1873.1,60.74694,Active
1,27,1866.7,65.16124,Active
1,1781,1862.2,74.60453,Active
1,8358,1859.8,151.1342,Active
1,156,1859.8,65.87391,Active
1,8030,1847.9,68.43874,Active
1,1564,1835.2,72.62788,Active
1,1379,1835.2,77.4152,Active
1,244,1831.1,69.17963,Active
1,1382,1825.5,86.97421,Active
1,1688,1824.1,68.78876,Active
1,1048,1820.9,73.84285,Active
1,155,1816.6,68.09327,Active
1,9450,1814.3,54.5414,Active
1,70,1808.7,89.53028,Inactive
1,8110,1806.9,111.8954,Active
1,1773,1805.8,58.91118,Active
1,10631,1802.1,64.43074,Active
1,1771,1795.3,99.47149,Inactive
1,1831,1790.8,62.39902,Active
1,163,1788.3,79.53323,Active
1,1329,1784.4,109.4274,Inactive
1,274,1780.8,65.20907,Active
1,4823,1780.4,61.03921,Active
1,1477,1778.8,61.53241,Active
1,174,1778,92.5974,Inactive
1,5,1769.5,95.05961,Inactive
1,3549,1768.5,71.60729,Active
1,2193,1766,67.78339,Active
1,1309,1758.8,73.0946,Active
1,11165,1754.9,75.9754,Active
1,9656,1750.3,66.20384,Active
1,634,1749,108.2919,Inactive
1,9486,1748.9,79.10723,Active
1,6325,1746.7,58.79094,Active
1,6,1743.1,108.5813,Inactive
1,1768,1742.2,86.56861,Active
1,1844,1740.9,94.5451,Inactive
1,1041,1735.2,84.94883,Inactive
1,149,1733.9,67.0335,Active
1,7213,1733.8,87.55748,Active
1,4,1732.8,107.4365,Inactive
1,9290,1732.5,55.98724,Active
1,2388,1732.2,50.17747,Active
1,7068,1727.3,154.2321,Inactive
1,110,1727.2,126.1807,Inactive
1,6081,1725.7,70.46484,Active
1,311,1725.2,79.11133,Active
1,394,1724.2,74.24178,Active
1,171,1724,84.89915,Active
1,1543,1722.5,67.79759,Active
1,2805,1722.2,61.95187,Active
1,9409,1722.2,121.7237,Inactive
1,2114,1721.2,72.76443,Active
1,5822,1721.1,44.79444,Active
1,8930,1721,47.62793,Active
1,1388,1718.3,76.07802,Inactive
1,2823,1717.9,83.55928,Active
1,1470,1717,93.97786,Inactive
1,11276,1716.9,71.10281,Active
1,1870,1715.8,117.8964,Inactive
1,477,1715.2,56.78579,Active
1,4898,1714.8,71.5834,Active
1,12989,1710,102.7331,Active
1,10345,1709.2,116.9251,Active
1,95,1706.3,92.91525,Inactive
1,2140,1704.1,44.95486,Active
1,407,1701.9,79.03141,Active
1,1391,1700.5,58.70227,Active
1,11710,1699.6,85.5191,Active
1,2097,1699.5,55.4288,Active
1,7866,1698.7,139.8989,Inactive
1,11967,1698.7,126.7518,Active
1,172,1698.6,54.65661,Active
1,6221,1698.2,96.59412,Inactive
1,11444,1697.7,107.6332,Active
1,1573,1697.4,71.01737,Active
1,11598,1696.6,71.69909,Active
1,6885,1696.3,205.4763,Inactive
1,4880,1695.6,109.8829,Inactive
1,9052,1695.4,70.29681,Active
1,1667,1694.8,98.7698,Inactive
1,52,1693.9,85.28117,Active
1,2675,1693.8,80.02751,Active
1,6076,1692.2,81.91859,Active
1,2181,1691.2,94.679,Inactive
1,1608,1691.1,71.86412,Active
1,3004,1690.6,58.67778,Active
1,6806,1690,62.35266,Active
1,4672,1689.1,66.97984,Active
1,6294,1688.6,143.2546,Active
1,2123,1688.6,79.64392,Active
1,346,1685.9,101.0245,Inactive
1,1415,1684.6,63.75401,Active
1,389,1684.5,95.0145,Inactive
1,9,1684.3,71.309,Active
1,5849,1683.8,67.64072,Active
1,11018,1683.1,82.76099,Active
1,179,1682,66.50726,Active
1,2001,1681.7,75.05329,Active
1,9855,1680.4,57.41557,Active
1,1774,1679.1,104.4132,Active
1,1219,1678.4,102.9809,Inactive
1,4717,1678.3,101.1135,Active
1,595,1677.6,97.90423,Inactive
1,7163,1677.5,55.00008,Active
1,1770,1675.8,88.72108,Active
1,2986,1675.4,92.12406,Active
1,3276,1675.3,67.3819,Active
1,5569,1672.9,55.11451,Active
1,1315,1670.7,96.4848,Active
1,239,1670.1,92.74074,Inactive
1,13060,1667.8,119.2548,Active
1,11443,1667.8,78.61383,Active
1,7298,1667.7,51.28173,Active
1,437,1667.6,96.16817,Inactive
1,625,1667,82.24325,Active
1,2152,1666.7,63.65222,Active
1,8861,1664.8,83.82294,Active
1,786,1664.7,74.35046,Active
1,1778,1663.3,78.46183,Active
1,9569,1660.6,55.82466,Active
1,2422,1660.3,92.61898,Inactive
1,10382,1658.7,96.94272,Active
1,487,1658.5,95.12894,Active
1,185,1657.9,99.48772,Inactive
1,779,1657.7,60.49251,Active
1,7134,1657.4,64.55804,Active
1,359,1657,67.40998,Active
1,5423,1656.3,149.1525,Active
1,4668,1654.2,78.106,Active
1,2745,1654.1,70.70148,Active
1,11654,1654,100.6998,Active
1,1363,1653.2,75.85471,Active
1,6721,1652.8,71.91263,Active
1,476,1651.7,84.50005,Active
1,2758,1650.5,58.06048,Active
1,1471,1649.3,78.42097,Active
1,6059,1647.6,79.34444,Active
1,626,1647.4,82.43326,Active
1,3330,1646.8,100.6697,Active
1,8823,1641.5,69.13306,Active
1,11,1637.3,71.95272,Active
1,5318,1636.9,80.18927,Active
1,1762,1636.5,82.90063,Active
1,9854,1635.4,54.05902,Active
1,11557,1635,182.216,Active
1,2202,1634.4,68.89466,Active
1,5516,1633.8,108.3586,Inactive
1,405,1632.5,62.36609,Active
1,7220,1632.4,93.65638,Active
1,12736,1631.5,112.4028,Active
1,4893,1629.7,65.839,Active
1,2982,1629.3,107.4614,Active
1,7329,1629.2,83.38603,Active
1,3448,1628.6,59.80053,Active
1,9673,1628.3,78.50121,Active
1,1365,1627.9,87.39381,Inactive
1,6382,1627.8,79.82529,Active
1,2124,1627.7,74.77073,Active
1,1091,1627.3,100.188,Inactive
1,1202,1626.9,94.36246,Active
1,10945,1626.6,60.2309,Active
1,1378,1625.2,93.48436,Active
1,9804,1625.1,97.47315,Active
1,6662,1624.8,135.5874,Inactive
1,1465,1624.7,80.36356,Active
1,190,1624,98.27652,Inactive
1,894,1622.8,105.1738,Inactive
1,3017,1622.3,156.4947,Inactive
1,7401,1621.3,145.0298,Inactive
1,8488,1618.8,151.5326,Inactive
1,8928,1618.8,58.96392,Active
1,3555,1616.6,59.38616,Active
1,11613,1616.1,93.80385,Active
1,1422,1613.6,71.94911,Active
1,3137,1613.4,57.02876,Active
1,591,1612.9,111.7559,Inactive
1,1421,1611.8,94.45463,Active
1,6834,1610.8,92.33498,Active
1,11442,1608.9,109.0676,Active
1,8359,1608.5,180.4708,Inactive
1,2822,1608.1,100.8883,Inactive
1,798,1607.8,90.2151,Active
1,5968,1607.7,63.4413,Active
1,9286,1607.5,63.98161,Active
1,9250,1606.9,71.18698,Active
1,3433,1606.9,126.8295,Inactive
1,9404,1606.5,144.8223,Inactive
1,157,1605.5,90.92932,Inactive
1,3488,1604.3,79.07607,Active
1,12738,1603.9,99.88542,Active
1,9678,1603.7,75.56954,Active
1,7353,1603,57.86811,Active
1,3410,1602.5,135.8581,Inactive
1,4754,1600.2,71.80967,Active
1,4771,1599.5,89.64249,Active
1,4889,1599.4,78.99233,Active
1,3071,1599.1,107.8837,Inactive
1,5078,1599,141.768,Inactive
1,5567,1598.3,65.44458,Active
1,4721,1598.1,69.19994,Active
1,10929,1597.1,77.78889,Active
1,2697,1597,105.7528,Inactive
1,863,1596.9,84.53646,Active
1,218,1596.8,77.98738,Active
1,4715,1596.4,72.22456,Active
1,4984,1595.9,98.72466,Active
1,1885,1595.1,108.6772,Inactive
1,1360,1594.8,75.70364,Active
1,9538,1594.8,59.75999,Active
1,3153,1594.4,74.99995,Active
1,3213,1593.4,141.4213,Inactive
1,8416,1593.4,68.78506,Active
1,4735,1593,131.9185,Inactive
1,4634,1592.7,70.71496,Active
1,2385,1592.2,50.55661,Active
1,1563,1591.7,117.2984,Active
1,687,1591.5,90.82629,Active
1,328,1590.3,116.8999,Inactive
1,3631,1589.9,42.93598,Active
1,7131,1589.7,57.8688,Active
1,5998,1589.2,64.80961,Active
1,8994,1588.5,97.26636,Active
