event_id,event_name,date,year,country,state,city
76,Fechtschule New York 2016,June 3,2016,United States,New York,Andes
36,Hemathlon 2016,June 3,2016,Greece,-,Athens
33,Copenhagen Open 2016,May 21,2016,Denmark,-,Copenhagen
44,The Dune Longsword Competition 2016,May 21,2016,United States,Arizona,Phoenix
61,Fecht Yeah 2016,May 14,2016,United States,New York,Staten Island
34,EHMS salikisa 2016,May 7,2016,Finland,-,Helsinki
30,Study in Steel 2016,April 30,2016,United States,South Carolina,Fountain Inn
71,Big Moscow Tournament 2016,April 23,2016,Russia,-,Moscow
56,Rocky Mountain Krieg,April 22,2016,United States,Colorado,Denver
31,Icebreaker 2016,April 16,2016,United States,Minnesota,Minneapolis
51,Fecht BA 2016,April 16,2016,Slovakia,-,Bratislava
11,Norway Open 2016,April 8,2016,Norway,-,Oslo
137,BFHS Spring Exchange 2016,March 27,2016,United Kingdom,-,York
10,Purpleheart Armory Open 2016,March 18,2016,United States,Texas,Houston
135,Montpellier HEMA Tournament 2016,March 12,2016,France,-,Montpellier
1236,AIMA 2016,March 4,2016,Italy,-,Rome
5,Vasaslaget 2016,February 26,2016,Sweden,-,Uppsala
22,Broken Point 2016,February 6,2016,United States,Pennsylvania,Pittsburgh
1,Helsinki Longsword Open 2016,January 23,2016,Finland,-,Helsinki
23,DC HEMA Open 2016,January 15,2016,United States,DC,"Washington, D.C."
90,Pardubický mec 2015,December 5,2015,Czech Republic,-,Pardubice
1234,CSEN 2015,November 29,2015,Italy,-,Rome
17,Helsinki Bolognese Open 2015,November 21,2015,Finland,-,Helsinki
32,TaurHEMAchia 2015,November 9,2015,Italy,-,Turin
28,SoCal Swordfight 2015,November 6,2015,United States,California,Torrance
2,Swordfish 2015,October 30,2015,Sweden,-,Gothenburg
1366,Johann Georg Pascha Turnier 2015,October 29,2015,Germany,-,Leipzig
89,Tyrnhaw 2015,October 19,2015,Slovakia,-,Trnava
69,HEFFAC 2015,October 10,2015,Netherlands,-,Tilburg
29,IGX 2015,October 2,2015,United States,Massachusets,Danvers
38,Ascent Saber Tournament 2015,September 20,2015,Russia,-,Saint Petersburg
3,Jyväskylän Pitkämiekka 2015,September 12,2015,Finland,-,Jyväskylä
82,International Lowlands HEMA Gathering 2015,September 5,2015,Netherlands,-,Amsterdam
26,PNW HEMA Gathering 2015,August 21,2015,United States,Washington,Coupeville
9,Longpoint 2015,July 24,2015,United States,Maryland,Baltimore
27,CombatCon 2015,June 25,2015,United States,Nevada,Las Vegas
123,Paris HEMA Open 2015,June 6,2015,France,-,Paris
180,Örebro Open 2015,May 29,2015,Sweden,-,Kristinehamn
88,Fecht BA 2015,April 18,2015,Slovakia,-,Bratislava
6,Copenhagen Open 2015,April 18,2015,Denmark,-,Copenhagen
1290,III Budapest MHS nylon és feder Kardvívó torna,March 7,2015,Hungary,-,Budapest
14,Vasaslaget 2015,March 6,2015,Sweden,-,Uppsala
7,Helsinki Longsword Open 2015,January 31,2015,Finland,-,Helsinki
83,Pardubický mec 2014,December 6,2014,Czech Republic,-,Pardubice
1613,Anvil 2014,November 27,2014,Canada,Alberta,Calgary
1293,I. Bihartordai Kardvívó Torna,November 15,2014,Hungary,-,Bihartorda
12,Swordfish 2014,October 31,2014,Sweden,-,Gothenburg
16,IGX 2014,September 26,2014,United States,Massachusets,Danvers
78,International Lowlands HEMA Gathering 2014,September 6,2014,Netherlands,-,Amsterdam
8,Bergen Open 2014,August 8,2014,Norway,-,Bergen
24,PNW HEMA Gathering 2014,August 8,2014,United States,Washington,Tacoma
21,Longpoint 2014,July 17,2014,United States,Maryland,Baltimore
154,Copenhagen Open Longsword 2014,May 31,2014,Denmark,-,Copenhagen
72,Fechtschule New York 2014,May 30,2014,United States,New York,Andes
1235,UISP 2014,May 24,2014,Italy,-,Rome
1291,II. Budapesti Kardvívó Torna,May 24,2014,Hungary,-,Budapest
181,Örebro Open 2014,April 11,2014,Sweden,-,Kristinehamn
62,Shortpoint 2014,February 22,2014,United States,Maryland,Elkridge
1292,I. Budapesti Kardvívó Torna,February 22,2014,Hungary,-,Budapest
13,Helsinki Longsword Open 2014,January 18,2014,Finland,-,Helsinki
47,Swordfish 2013,October 31,2013,Sweden,-,Gothenburg
77,International Lowlands HEMA Gathering 2013,September 7,2013,Netherlands,-,Amsterdam
25,PNW HEMA Gathering 2013,August 23,2013,United States,Washington,Seattle
15,Bergen Open 2013,August 16,2013,Norway,-,Bergen
20,Longpoint 2013,July 12,2013,United States,Maryland,Baltimore
18,Örebro Öppna Långsvärdsturnering 2013,April 26,2013,Sweden,-,Karlskoga
46,Swordfish 2012,November 2,2012,Sweden,-,Gothenburg
74,World Wide Open Longsword Championship 2012,August 4,2012,Germany,-,Hülsede
19,Longpoint 2012,June 14,2012,United States,Maryland,Baltimore
1311,SKUNKS 2012,May 20,2012,Poland,-,Rybnik
43,Swordfish 2011,November 4,2011,Sweden,-,Gothenburg
